time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,characteristics_group,characteristic,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202021,Academic year,National,E92000001,England,Revised,All state-funded,First language,English,3975,475601,24152471.55,50.8,462244,97.2,246822,51.9,344655,72.5,174476,36.7,98727,20.8,135114,28.4,2096011.02,4.41,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,3503,97406,5070087.72,52.1,94508,97,51446,52.8,69824,71.7,47760,49,25101,25.8,34519,35.4,456993.15,4.69,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,First language,Unclassified EAL,681,2856,96750.5,33.9,2472,86.6,846,29.6,1341,47,581,20.3,270,9.5,371,13,8307.47,2.91,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,FSM,3949,107838,4216547.8,39.1,100614,93.3,32217,29.9,54843,50.9,27750,25.7,9993,9.3,16359,15.2,354955.35,3.29,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,FSM all other,3975,468025,25102761.97,53.6,458610,98,266897,57,360977,77.1,195067,41.7,114105,24.4,153645,32.8,2206356.29,4.71,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,3974,151973,6118372.06,40.3,142713,93.9,48198,31.7,80762,53.1,40971,27,15320,10.1,24713,16.3,516769.07,3.4,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,3957,423890,23200937.71,54.7,416511,98.3,250916,59.2,335058,79,181846,42.9,108778,25.7,145291,34.3,2044542.57,4.82,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,SEN Supp,3232,63926,2347548.4,36.7,62273,97.4,14183,22.2,26890,42.1,11008,17.2,3579,5.6,5833,9.1,191834.66,3,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No SEN,3213,487466,26584768.23,54.5,484208,99.3,282962,58,384932,79,210903,43.3,120186,24.7,163664,33.6,2339251.33,4.8,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,SEN State EHC,3584,23284,366396.39,15.7,11863,50.9,1818,7.8,3688,15.8,904,3.9,333,1.4,505,2.2,28541.35,1.23,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Autistic Spectrum Disorder,3071,11680,368527.13,31.6,8642,74,2915,25,4803,41.1,1609,13.8,748,6.4,1097,9.4,30714.3,2.63,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Hearing Impairment,1244,1883,82171.75,43.6,1754,93.1,709,37.7,1119,59.4,519,27.6,249,13.2,375,19.9,6944.04,3.69,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Moderate Learning Difficulty,2892,16802,433996.5,25.8,14372,85.5,1236,7.4,3384,20.1,1615,9.6,199,1.2,457,2.7,33809.77,2.01,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Multi-Sensory Impairment,131,176,6507.13,37,156,88.6,47,26.7,88,50,31,17.6,15,8.5,18,10.2,540.69,3.07,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,No primary need,3227,488653,26605364.98,54.4,485088,99.3,283113,57.9,385242,78.8,210905,43.2,120186,24.6,163666,33.5,2340935.63,4.79,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Other Difficulty/Disability,1610,4405,161613.26,36.7,4094,92.9,1033,23.5,1897,43.1,841,19.1,297,6.7,475,10.8,13329.15,3.03,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Physical Disability,1590,2700,102379.63,37.9,2327,86.2,832,30.8,1321,48.9,581,21.5,277,10.3,394,14.6,8635.59,3.2,:,:,:,:,:
