time_period,time_identifier,geographic_level,country_code,country_name,pcon_code,pcon_name,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Parliamentary constituency,E92000001,England,E14000982,Sunderland Central,Provisional,School location,State-funded schools (LA),6,923,42816.5,46.4,893,96.7,405,43.9,585,63.4,459,49.7,3739.81,4.05,189,20.5,295,32,893,-305.83,-0.34,-0.44,-0.25
202223,Academic year,Parliamentary constituency,E92000001,England,E14000983,Surrey Heath,Provisional,School location,State-funded schools (LA),8,1125,56572,50.3,1067,94.8,614,54.6,818,72.7,245,21.8,4907.07,4.36,159,14.1,200,17.8,1037,189.079,0.18,0.1,0.27
202223,Academic year,Parliamentary constituency,E92000001,England,E14000984,Sutton and Cheam,Provisional,School location,State-funded schools (LA),6,1385,80908.75,58.4,1375,99.3,950,68.6,1159,83.7,587,42.4,7205.13,5.2,362,26.1,461,33.3,1262,665.219,0.53,0.45,0.61
202223,Academic year,Parliamentary constituency,E92000001,England,E14000985,Sutton Coldfield,Provisional,School location,State-funded schools (LA),7,1424,77944.75,54.7,1404,98.6,880,61.8,1102,77.4,811,57,7093.33,4.98,413,29,587,41.2,1363,138.509,0.1,0.03,0.18
202223,Academic year,Parliamentary constituency,E92000001,England,E14000986,Tamworth,Provisional,School location,State-funded schools (LA),7,782,31226.5,39.9,743,95,240,30.7,430,55,305,39,2707.19,3.46,66,8.4,131,16.8,767,-311.178,-0.41,-0.51,-0.31
202223,Academic year,Parliamentary constituency,E92000001,England,E14000987,Tatton,Provisional,School location,State-funded schools (LA),5,640,30477.25,47.6,619,96.7,324,50.6,448,70,195,30.5,2648.54,4.14,98,15.3,138,21.6,601,-99.365,-0.17,-0.28,-0.05
202223,Academic year,Parliamentary constituency,E92000001,England,E14000988,Taunton Deane,Provisional,School location,State-funded schools (LA),8,1208,53135.75,44,1151,95.3,483,40,750,62.1,293,24.3,4522.09,3.74,111,9.2,161,13.3,1152,-193.123,-0.17,-0.25,-0.09
202223,Academic year,Parliamentary constituency,E92000001,England,E14000989,Telford,Provisional,School location,State-funded schools (LA),9,1281,52760.75,41.2,1242,97,444,34.7,704,55,349,27.2,4547.57,3.55,161,12.6,246,19.2,1224,-517.328,-0.42,-0.5,-0.34
202223,Academic year,Parliamentary constituency,E92000001,England,E14000990,Tewkesbury,Provisional,School location,State-funded schools (LA),8,1130,51735.75,45.8,1061,93.9,506,44.8,757,67,194,17.2,4331.34,3.83,107,9.5,140,12.4,1083,184.961,0.17,0.09,0.25
202223,Academic year,Parliamentary constituency,E92000001,England,E14000991,The Cotswolds,Provisional,School location,State-funded schools (LA),8,1324,66065.5,49.9,1291,97.5,692,52.3,964,72.8,418,31.6,5788.06,4.37,265,20,327,24.7,1258,240.907,0.19,0.11,0.27
202223,Academic year,Parliamentary constituency,E92000001,England,E14000992,The Wrekin,Provisional,School location,State-funded schools (LA),8,1266,61883.75,48.9,1242,98.1,584,46.1,825,65.2,482,38.1,5433.23,4.29,241,19,315,24.9,1198,-228.052,-0.19,-0.27,-0.11
202223,Academic year,Parliamentary constituency,E92000001,England,E14000993,Thirsk and Malton,Provisional,School location,State-funded schools (LA),8,916,41751,45.6,885,96.6,401,43.8,613,66.9,389,42.5,3780.35,4.13,171,18.7,260,28.4,888,34.591,0.04,-0.05,0.13
202223,Academic year,Parliamentary constituency,E92000001,England,E14000994,Thornbury and Yate,Provisional,School location,State-funded schools (LA),7,787,35923.75,45.6,738,93.8,333,42.3,503,63.9,353,44.9,3201.81,4.07,133,16.9,225,28.6,754,-5.94,-0.01,-0.11,0.09
202223,Academic year,Parliamentary constituency,E92000001,England,E14000995,Thurrock,Provisional,School location,State-funded schools (LA),11,1503,67572.25,45,1449,96.4,670,44.6,956,63.6,757,50.4,5983.42,3.98,289,19.2,430,28.6,1429,-73.424,-0.05,-0.12,0.02
202223,Academic year,Parliamentary constituency,E92000001,England,E14000996,Tiverton and Honiton,Provisional,School location,State-funded schools (LA),7,1003,51277.25,51.1,988,98.5,540,53.8,730,72.8,314,31.3,4504.7,4.49,203,20.2,254,25.3,949,188.821,0.2,0.11,0.29
