time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Chemistry,AS level and FSMQ,a to b,1,50
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Chemistry,AS level and FSMQ,a to b,1,50
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Chemistry,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Chemistry,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Classical Greek,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Classical Greek,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Classical Greek,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Classical Greek,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Classical Greek,AS level and FSMQ,a to b,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Classical Greek,AS level and FSMQ,a to b,1,50
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Classical Greek,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Classical Greek,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Classical Greek,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Computer Science,AS level and FSMQ,Total pupil entries,7,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Computer Science,AS level and FSMQ,Total pupil entries,8,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Computer Science,AS level and FSMQ,Total pupil entries,15,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Computer Science,AS level and FSMQ,a to b,3,43
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Computer Science,AS level and FSMQ,a to b,7,88
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Computer Science,AS level and FSMQ,a to b,10,67
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Computer Science,AS level and FSMQ,a to e,7,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Computer Science,AS level and FSMQ,a to e,8,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Computer Science,AS level and FSMQ,a to e,15,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,D & T: Textiles Technology,AS level and FSMQ,Total pupil entries,13,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,D & T: Textiles Technology,AS level and FSMQ,Total pupil entries,13,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,D & T: Textiles Technology,AS level and FSMQ,a to b,6,46
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,D & T: Textiles Technology,AS level and FSMQ,a to b,6,46
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,D & T: Textiles Technology,AS level and FSMQ,a to e,11,85
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,D & T: Textiles Technology,AS level and FSMQ,a to e,11,85
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Drama,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Drama,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Drama,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Drama,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Drama,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Drama,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Economics,AS level and FSMQ,Total pupil entries,17,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Economics,AS level and FSMQ,Total pupil entries,7,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Economics,AS level and FSMQ,Total pupil entries,24,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Economics,AS level and FSMQ,a to b,4,24
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Economics,AS level and FSMQ,a to b,4,57
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Economics,AS level and FSMQ,a to b,8,33
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Economics,AS level and FSMQ,a to e,13,76
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Economics,AS level and FSMQ,a to e,6,86
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Economics,AS level and FSMQ,a to e,19,79
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,English Language,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,English Language,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,English Language,AS level and FSMQ,a to b,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,English Language,AS level and FSMQ,a to b,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,English Language,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,English Language,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Film Studies,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Film Studies,AS level and FSMQ,Total pupil entries,16,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Film Studies,AS level and FSMQ,Total pupil entries,17,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Film Studies,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Film Studies,AS level and FSMQ,a to b,10,63
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Film Studies,AS level and FSMQ,a to b,10,59
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Film Studies,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Film Studies,AS level and FSMQ,a to e,16,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Film Studies,AS level and FSMQ,a to e,17,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,French,AS level and FSMQ,Total pupil entries,11,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,French,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,French,AS level and FSMQ,Total pupil entries,13,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,French,AS level and FSMQ,a to b,9,82
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,French,AS level and FSMQ,a to b,1,50
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,French,AS level and FSMQ,a to b,10,77
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,French,AS level and FSMQ,a to e,10,91
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,French,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,French,AS level and FSMQ,a to e,12,92
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Geography,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Geography,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Geography,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Geography,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Geography,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Geography,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,German,AS level and FSMQ,Total pupil entries,6,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,German,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,German,AS level and FSMQ,Total pupil entries,8,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,German,AS level and FSMQ,a to b,4,67
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,German,AS level and FSMQ,a to b,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,German,AS level and FSMQ,a to b,6,75
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,German,AS level and FSMQ,a to e,6,100
