time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,English Language,GCSE,9 to 5,6228,59
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,English Language,GCSE,9 to 5,14008,52
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,English Language,GCSE,9 to 5,17815,65
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,English Language,GCSE,9 to 5,31823,58
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,English Language,GCSE,9 to 5,163,57
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,English Language,GCSE,9 to 5,165,68
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,English Language,GCSE,9 to 5,328,62
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,English Language,GCSE,9 to 5,141847,48
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,English Language,GCSE,9 to 5,176034,61
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,English Language,GCSE,9 to 5,317881,54
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,English Language,GCSE,9 to 5,6955,37
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,English Language,GCSE,9 to 5,9491,51
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,English Language,GCSE,9 to 5,16446,44
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,English Language,GCSE,9 to 5,122672,46
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,English Language,GCSE,9 to 5,153792,60
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,English Language,GCSE,9 to 5,276464,53
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,English Language,GCSE,9 to 5,12138,92
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,English Language,GCSE,9 to 5,12625,96
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,English Language,GCSE,9 to 5,24763,94
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,English Language,GCSE,9 to 5,135,24
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,English Language,GCSE,9 to 5,241,39
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,English Language,GCSE,9 to 5,376,32
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,English Language,GCSE,9 to 5,964,37
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,English Language,GCSE,9 to 5,618,49
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,English Language,GCSE,9 to 5,1582,41
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,English Language,GCSE,Total pupil entries,236389,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,English Language,GCSE,Total pupil entries,229947,z
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,English Language,GCSE,Total pupil entries,466336,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,English Language,GCSE,Total pupil entries,12223,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,English Language,GCSE,Total pupil entries,12532,z
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,English Language,GCSE,Total pupil entries,24755,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,English Language,GCSE,Total pupil entries,315212,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,English Language,GCSE,Total pupil entries,305263,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,English Language,GCSE,Total pupil entries,620475,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,English Language,GCSE,Total pupil entries,3022,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,English Language,GCSE,Total pupil entries,845,z
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,English Language,GCSE,Total pupil entries,3867,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,English Language,GCSE,Total pupil entries,299461,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,English Language,GCSE,Total pupil entries,290324,z
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,English Language,GCSE,Total pupil entries,589785,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,English Language,GCSE,Total pupil entries,1937,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,English Language,GCSE,Total pupil entries,444,z
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,English Language,GCSE,Total pupil entries,2381,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,English Language,GCSE,Total pupil entries,154392,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,English Language,GCSE,Total pupil entries,154591,z
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,English Language,GCSE,Total pupil entries,308983,z
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,English Language,GCSE,Total pupil entries,393,z
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,English Language,GCSE,Total pupil entries,456,z
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,English Language,GCSE,Total pupil entries,849,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,English Language,GCSE,Total pupil entries,11397,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,English Language,GCSE,Total pupil entries,9317,z
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,English Language,GCSE,Total pupil entries,20714,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,English Language,GCSE,Total pupil entries,11138,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,English Language,GCSE,Total pupil entries,12131,z
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,English Language,GCSE,Total pupil entries,23269,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,English Language,GCSE,Total pupil entries,1010,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,English Language,GCSE,Total pupil entries,373,z
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,English Language,GCSE,Total pupil entries,1383,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,English Language,GCSE,Total pupil entries,75,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,English Language,GCSE,Total pupil entries,28,z
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,English Language,GCSE,Total pupil entries,103,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,English Language,GCSE,Total pupil entries,67402,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,English Language,GCSE,Total pupil entries,64164,z
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,English Language,GCSE,Total pupil entries,131566,z
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,English Language,GCSE,Total pupil entries,302089,z
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,English Language,GCSE,Total pupil entries,291748,z
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,English Language,GCSE,Total pupil entries,593837,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,English Language,GCSE,Total pupil entries,16492,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,English Language,GCSE,Total pupil entries,16344,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,English Language,GCSE,Total pupil entries,32836,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Hindu,English Language,GCSE,Total pupil entries,205,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Hindu,English Language,GCSE,Total pupil entries,195,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Hindu,English Language,GCSE,Total pupil entries,400,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,English Language,GCSE,Total pupil entries,687,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,English Language,GCSE,Total pupil entries,796,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,English Language,GCSE,Total pupil entries,1483,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Muslim,English Language,GCSE,Total pupil entries,799,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Muslim,English Language,GCSE,Total pupil entries,1035,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Muslim,English Language,GCSE,Total pupil entries,1834,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,English Language,GCSE,Total pupil entries,245770,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,English Language,GCSE,Total pupil entries,238421,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,English Language,GCSE,Total pupil entries,484191,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,English Language,GCSE,Total pupil entries,5800,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,English Language,GCSE,Total pupil entries,4843,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,English Language,GCSE,Total pupil entries,10643,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,English Language,GCSE,Total pupil entries,27094,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,English Language,GCSE,Total pupil entries,27547,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,English Language,GCSE,Total pupil entries,54641,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,English Language,GCSE,Total pupil entries,284,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,English Language,GCSE,Total pupil entries,243,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,English Language,GCSE,Total pupil entries,527,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,English Language,GCSE,Total pupil entries,297524,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,English Language,GCSE,Total pupil entries,289880,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,English Language,GCSE,Total pupil entries,587404,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,English Language,GCSE,Total pupil entries,18814,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,English Language,GCSE,Total pupil entries,18538,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,English Language,GCSE,Total pupil entries,37352,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,English Language,GCSE,Total pupil entries,265157,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,English Language,GCSE,Total pupil entries,257728,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,English Language,GCSE,Total pupil entries,522885,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,English Language,GCSE,Total pupil entries,13160,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,English Language,GCSE,Total pupil entries,13158,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,English Language,GCSE,Total pupil entries,26318,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,English Language,GCSE,Total pupil entries,557,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,English Language,GCSE,Total pupil entries,618,z
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,English Language,GCSE,Total pupil entries,1175,z
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,English Language,GCSE,Total pupil entries,2641,z
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,English Language,GCSE,Total pupil entries,1257,z
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,English Language,GCSE,Total pupil entries,3898,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,English Literature,GCSE,9 to 1,224064,96
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,English Literature,GCSE,9 to 1,222165,98
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,English Literature,GCSE,9 to 1,446229,97
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,English Literature,GCSE,9 to 1,9640,99
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,English Literature,GCSE,9 to 1,11312,100
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,English Literature,GCSE,9 to 1,20952,99
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,English Literature,GCSE,9 to 1,292958,96
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,English Literature,GCSE,9 to 1,292231,98
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,English Literature,GCSE,9 to 1,585189,97
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,English Literature,GCSE,9 to 1,672,86
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,English Literature,GCSE,9 to 1,217,89
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,English Literature,GCSE,9 to 1,889,87
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,English Literature,GCSE,9 to 1,282363,96
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,English Literature,GCSE,9 to 1,279968,98
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,English Literature,GCSE,9 to 1,562331,97
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,English Literature,GCSE,9 to 1,461,87
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,English Literature,GCSE,9 to 1,132,87
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,English Literature,GCSE,9 to 1,593,87
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,English Literature,GCSE,9 to 1,147939,97
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,English Literature,GCSE,9 to 1,150417,98
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,English Literature,GCSE,9 to 1,298356,98
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,English Literature,GCSE,9 to 1,124,82
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,English Literature,GCSE,9 to 1,183,90
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,English Literature,GCSE,9 to 1,307,86
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,English Literature,GCSE,9 to 1,10845,97
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,English Literature,GCSE,9 to 1,8990,98
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,English Literature,GCSE,9 to 1,19835,98
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,English Literature,GCSE,9 to 1,9429,100
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,English Literature,GCSE,9 to 1,11227,100
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,English Literature,GCSE,9 to 1,20656,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,English Literature,GCSE,9 to 1,180,83
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,English Literature,GCSE,9 to 1,70,91
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,English Literature,GCSE,9 to 1,250,85
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,English Literature,GCSE,9 to 1,31,94
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,English Literature,GCSE,9 to 1,15,94
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,English Literature,GCSE,9 to 1,46,94
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,English Literature,GCSE,9 to 1,62372,94
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,English Literature,GCSE,9 to 1,61002,96
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,English Literature,GCSE,9 to 1,123374,95
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,English Literature,GCSE,9 to 1,282883,96
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,English Literature,GCSE,9 to 1,280313,98
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,English Literature,GCSE,9 to 1,563196,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,English Literature,GCSE,9 to 1,15674,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,English Literature,GCSE,9 to 1,15772,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,English Literature,GCSE,9 to 1,31446,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Hindu,English Literature,GCSE,9 to 1,182,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Hindu,English Literature,GCSE,9 to 1,185,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Hindu,English Literature,GCSE,9 to 1,367,100
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,English Literature,GCSE,9 to 1,667,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,English Literature,GCSE,9 to 1,776,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,English Literature,GCSE,9 to 1,1443,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Muslim,English Literature,GCSE,9 to 1,789,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Muslim,English Literature,GCSE,9 to 1,1012,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Muslim,English Literature,GCSE,9 to 1,1801,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,English Literature,GCSE,9 to 1,232612,96
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,English Literature,GCSE,9 to 1,230206,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,English Literature,GCSE,9 to 1,462818,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,English Literature,GCSE,9 to 1,5535,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,English Literature,GCSE,9 to 1,4665,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,English Literature,GCSE,9 to 1,10200,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,English Literature,GCSE,9 to 1,26042,98
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,English Literature,GCSE,9 to 1,26800,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,English Literature,GCSE,9 to 1,52842,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,English Literature,GCSE,9 to 1,277,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,English Literature,GCSE,9 to 1,237,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,English Literature,GCSE,9 to 1,514,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,English Literature,GCSE,9 to 1,281902,96
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,English Literature,GCSE,9 to 1,279836,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,English Literature,GCSE,9 to 1,561738,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,English Literature,GCSE,9 to 1,17819,96
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,English Literature,GCSE,9 to 1,17841,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,English Literature,GCSE,9 to 1,35660,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,English Literature,GCSE,9 to 1,250864,96
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,English Literature,GCSE,9 to 1,248710,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,English Literature,GCSE,9 to 1,499574,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,English Literature,GCSE,9 to 1,13095,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,English Literature,GCSE,9 to 1,13102,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,English Literature,GCSE,9 to 1,26197,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,English Literature,GCSE,9 to 1,494,93
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,English Literature,GCSE,9 to 1,572,96
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,English Literature,GCSE,9 to 1,1066,95
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,English Literature,GCSE,9 to 1,2414,95
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,English Literature,GCSE,9 to 1,1184,97
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,English Literature,GCSE,9 to 1,3598,96
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,English Literature,GCSE,9 to 4,155827,67
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,English Literature,GCSE,9 to 4,178651,79
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,English Literature,GCSE,9 to 4,334478,73
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,English Literature,GCSE,9 to 4,8867,91
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,English Literature,GCSE,9 to 4,10953,97
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,English Literature,GCSE,9 to 4,19820,94
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,English Literature,GCSE,9 to 4,205138,68
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,English Literature,GCSE,9 to 4,236809,79
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,English Literature,GCSE,9 to 4,441947,73
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,English Literature,GCSE,9 to 4,195,25
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,English Literature,GCSE,9 to 4,103,42
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,English Literature,GCSE,9 to 4,298,29
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,English Literature,GCSE,9 to 4,196014,67
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,English Literature,GCSE,9 to 4,225424,79
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,English Literature,GCSE,9 to 4,421438,73
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,English Literature,GCSE,9 to 4,105,20
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,English Literature,GCSE,9 to 4,49,32
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,English Literature,GCSE,9 to 4,154,23
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,English Literature,GCSE,9 to 4,107605,71
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,English Literature,GCSE,9 to 4,125304,82
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,English Literature,GCSE,9 to 4,232909,76
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,English Literature,GCSE,9 to 4,66,43
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,English Literature,GCSE,9 to 4,78,38
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,English Literature,GCSE,9 to 4,144,40
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,English Literature,GCSE,9 to 4,8100,73
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,English Literature,GCSE,9 to 4,7460,82
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,English Literature,GCSE,9 to 4,15560,77
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,English Literature,GCSE,9 to 4,8777,93
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,English Literature,GCSE,9 to 4,10899,97
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,English Literature,GCSE,9 to 4,19676,95
