,time_period,gender,subject,total_exam_entries,grade
27399,201213,Boys,Other Design and Technology,23396,9 to 5
27400,201213,Girls,Other Design and Technology,10358,9 to 5
27401,201213,Total,Other Design and Technology,33754,9 to 5
27438,201213,Boys,Other Modern Languages,4465,9 to 5
27439,201213,Girls,Other Modern Languages,4856,9 to 5
27440,201213,Total,Other Modern Languages,9321,9 to 5
27477,201213,Boys,Other Sciences,3895,9 to 5
27478,201213,Girls,Other Sciences,2090,9 to 5
27479,201213,Total,Other Sciences,5985,9 to 5
27516,201213,Boys,Performing Arts,948,9 to 5
27517,201213,Girls,Performing Arts,2131,9 to 5
27518,201213,Total,Performing Arts,3079,9 to 5
27555,201213,Boys,Physical Education,60323,9 to 5
27556,201213,Girls,Physical Education,31257,9 to 5
27557,201213,Total,Physical Education,91580,9 to 5
27594,201213,Boys,Physics,76223,9 to 5
27595,201213,Girls,Physics,73173,9 to 5
27596,201213,Total,Physics,149396,9 to 5
27633,201213,Boys,Polish,1456,9 to 5
27634,201213,Girls,Polish,1488,9 to 5
27635,201213,Total,Polish,2944,9 to 5
27672,201213,Boys,Religious Studies,104900,9 to 5
27673,201213,Girls,Religious Studies,124109,9 to 5
27674,201213,Total,Religious Studies,229009,9 to 5
27711,201213,Boys,Social Studies,15456,9 to 5
27712,201213,Girls,Social Studies,28684,9 to 5
27713,201213,Total,Social Studies,44140,9 to 5
27750,201213,Boys,Spanish,35325,9 to 5
27751,201213,Girls,Spanish,47408,9 to 5
27752,201213,Total,Spanish,82733,9 to 5
27789,201213,Boys,Statistics,23230,9 to 5
27790,201213,Girls,Statistics,21244,9 to 5
27791,201213,Total,Statistics,44474,9 to 5
27828,201213,Boys,Urdu,1487,9 to 5
27829,201213,Girls,Urdu,2606,9 to 5
27830,201213,Total,Urdu,4093,9 to 5
27867,201213,Boys,Vocational Studies,16022,9 to 5
27868,201213,Girls,Vocational Studies,17307,9 to 5
27869,201213,Total,Vocational Studies,33329,9 to 5
27906,201112,Boys,Additional Applied Science,8181,9 to 5
27907,201112,Girls,Additional Applied Science,9468,9 to 5
27908,201112,Total,Additional Applied Science,17649,9 to 5
27945,201112,Boys,Additional Science,119763,9 to 5
27946,201112,Girls,Additional Science,124941,9 to 5
27947,201112,Total,Additional Science,244704,9 to 5
27984,201112,Boys,All Subjects,2180535,9 to 5
27985,201112,Girls,All Subjects,2247133,9 to 5
27986,201112,Total,All Subjects,4427668,9 to 5
28101,201112,Boys,Ancient History,165,9 to 5
28102,201112,Girls,Ancient History,79,9 to 5
28103,201112,Total,Ancient History,244,9 to 5
28140,201112,Boys,Applied Art and Design,441,9 to 5
28141,201112,Girls,Applied Art and Design,730,9 to 5
28142,201112,Total,Applied Art and Design,1171,9 to 5
28179,201112,Boys,Applied Business,2220,9 to 5
28180,201112,Girls,Applied Business,1647,9 to 5
28181,201112,Total,Applied Business,3867,9 to 5
28218,201112,Boys,Applied Engineering,1410,9 to 5
28219,201112,Girls,Applied Engineering,116,9 to 5
28220,201112,Total,Applied Engineering,1526,9 to 5
28257,201112,Boys,Applied Physical Education,96,9 to 5
28258,201112,Girls,Applied Physical Education,89,9 to 5
28259,201112,Total,Applied Physical Education,185,9 to 5
28296,201112,Boys,Arabic,1035,9 to 5
28297,201112,Girls,Arabic,1263,9 to 5
28298,201112,Total,Arabic,2298,9 to 5
28335,201112,Boys,Art and Design,54643,9 to 5
28336,201112,Girls,Art and Design,104369,9 to 5
28337,201112,Total,Art and Design,159012,9 to 5
28374,201112,Boys,Biological Sciences,78707,9 to 5
28375,201112,Girls,Biological Sciences,70315,9 to 5
28376,201112,Total,Biological Sciences,149022,9 to 5
28413,201112,Boys,Business Studies,34976,9 to 5
28414,201112,Girls,Business Studies,23546,9 to 5
28415,201112,Total,Business Studies,58522,9 to 5
28452,201112,Boys,Chemistry,78220,9 to 5
28453,201112,Girls,Chemistry,69244,9 to 5
28454,201112,Total,Chemistry,147464,9 to 5
28491,201112,Boys,Chinese,1188,9 to 5
28492,201112,Girls,Chinese,1119,9 to 5
28493,201112,Total,Chinese,2307,9 to 5
28530,201112,Boys,Classical Civilisation,2414,9 to 5
28531,201112,Girls,Classical Civilisation,1806,9 to 5
28532,201112,Total,Classical Civilisation,4220,9 to 5
28569,201112,Boys,Classical Greek,649,9 to 5
28570,201112,Girls,Classical Greek,449,9 to 5
28571,201112,Total,Classical Greek,1098,9 to 5
28608,201112,Boys,Communication Studies,4581,9 to 5
28609,201112,Girls,Communication Studies,5240,9 to 5
28610,201112,Total,Communication Studies,9821,9 to 5
28647,201112,Boys,Construction,c,9 to 5
28648,201112,Girls,Construction,c,9 to 5
28649,201112,Total,Construction,42,9 to 5
28686,201112,Boys,Core Science,154001,9 to 5
28687,201112,Girls,Core Science,157230,9 to 5
28688,201112,Total,Core Science,311231,9 to 5
28725,201112,Boys,D & T: Electronic Products,8453,9 to 5
28726,201112,Girls,D & T: Electronic Products,687,9 to 5
28727,201112,Total,D & T: Electronic Products,9140,9 to 5
28764,201112,Boys,D & T: Food Technology,18752,9 to 5
28765,201112,Girls,D & T: Food Technology,30772,9 to 5
28766,201112,Total,D & T: Food Technology,49524,9 to 5
28803,201112,Boys,D & T: Graphic Products,24294,9 to 5
28804,201112,Girls,D & T: Graphic Products,16512,9 to 5
28805,201112,Total,D & T: Graphic Products,40806,9 to 5
28842,201112,Boys,D & T: Resistant Materials,46098,9 to 5
28843,201112,Girls,D & T: Resistant Materials,8206,9 to 5
28844,201112,Total,D & T: Resistant Materials,54304,9 to 5
28881,201112,Boys,D & T: Systems & Control,3767,9 to 5
28882,201112,Girls,D & T: Systems & Control,293,9 to 5
28883,201112,Total,D & T: Systems & Control,4060,9 to 5
28920,201112,Boys,D & T: Textiles Technology,891,9 to 5
28921,201112,Girls,D & T: Textiles Technology,31093,9 to 5
28922,201112,Total,D & T: Textiles Technology,31984,9 to 5
28959,201112,Boys,Dance,799,9 to 5
28960,201112,Girls,Dance,11143,9 to 5
28961,201112,Total,Dance,11942,9 to 5
28998,201112,Boys,Drama,27528,9 to 5
28999,201112,Girls,Drama,42843,9 to 5
29000,201112,Total,Drama,70371,9 to 5
29037,201112,Boys,Economics,2436,9 to 5
29038,201112,Girls,Economics,993,9 to 5
29039,201112,Total,Economics,3429,9 to 5
29076,201112,Boys,English,286477,9 to 5
29077,201112,Girls,English,282134,9 to 5
29078,201112,Total,English,568611,9 to 5
29115,201112,Boys,English Literature,201888,9 to 5
29116,201112,Girls,English Literature,224027,9 to 5
29117,201112,Total,English Literature,425915,9 to 5
29154,201112,Boys,English Studies,1908,9 to 5
29155,201112,Girls,English Studies,1398,9 to 5
29156,201112,Total,English Studies,3306,9 to 5
29193,201112,Boys,French,57046,9 to 5
29194,201112,Girls,French,78501,9 to 5
29195,201112,Total,French,135547,9 to 5
29232,201112,Boys,General Studies,2491,9 to 5
29233,201112,Girls,General Studies,2559,9 to 5
29234,201112,Total,General Studies,5050,9 to 5
29271,201112,Boys,Geography,91248,9 to 5
29272,201112,Girls,Geography,73839,9 to 5
29273,201112,Total,Geography,165087,9 to 5
29310,201112,Boys,German,25917,9 to 5
29311,201112,Girls,German,28876,9 to 5
29312,201112,Total,German,54793,9 to 5
29349,201112,Boys,Health and Social Care,379,9 to 5
29350,201112,Girls,Health and Social Care,5800,9 to 5
29351,201112,Total,Health and Social Care,6179,9 to 5
29388,201112,Boys,History,99769,9 to 5
29389,201112,Girls,History,98106,9 to 5
29390,201112,Total,History,197875,9 to 5
29427,201112,Boys,Home Economics,3901,9 to 5
29428,201112,Girls,Home Economics,23481,9 to 5
29429,201112,Total,Home Economics,27382,9 to 5
29466,201112,Boys,Hospitality and Catering,492,9 to 5
29467,201112,Girls,Hospitality and Catering,704,9 to 5
29468,201112,Total,Hospitality and Catering,1196,9 to 5
29505,201112,Boys,Humanities,7557,9 to 5
29506,201112,Girls,Humanities,7754,9 to 5
29507,201112,Total,Humanities,15311,9 to 5
29544,201112,Boys,Information Technology,21476,9 to 5
29545,201112,Girls,Information Technology,17737,9 to 5
29546,201112,Total,Information Technology,39213,9 to 5
29583,201112,Boys,Italian,1698,9 to 5
29584,201112,Girls,Italian,2153,9 to 5
29585,201112,Total,Italian,3851,9 to 5
29622,201112,Boys,Latin,4141,9 to 5
29623,201112,Girls,Latin,4240,9 to 5
29624,201112,Total,Latin,8381,9 to 5
29661,201112,Boys,Leisure and Tourism,1132,9 to 5
29662,201112,Girls,Leisure and Tourism,1492,9 to 5
29663,201112,Total,Leisure and Tourism,2624,9 to 5
29700,201112,Boys,Manufacturing,118,9 to 5
29701,201112,Girls,Manufacturing,21,9 to 5
29702,201112,Total,Manufacturing,139,9 to 5
29739,201112,Boys,Mathematics,301640,9 to 5
29740,201112,Girls,Mathematics,292726,9 to 5
29741,201112,Total,Mathematics,594366,9 to 5
29778,201112,Boys,Media/Film/TV,24466,9 to 5
29779,201112,Girls,Media/Film/TV,25012,9 to 5
29780,201112,Total,Media/Film/TV,49478,9 to 5
29817,201112,Boys,Media: Communication and Production,70,9 to 5
29818,201112,Girls,Media: Communication and Production,79,9 to 5
29819,201112,Total,Media: Communication and Production,149,9 to 5
29856,201112,Boys,Music,20943,9 to 5
29857,201112,Girls,Music,19818,9 to 5
29858,201112,Total,Music,40761,9 to 5
29895,201112,Boys,Other Classical Studies,118,9 to 5
29896,201112,Girls,Other Classical Studies,355,9 to 5
29897,201112,Total,Other Classical Studies,473,9 to 5
29934,201112,Boys,Other Design and Technology,22445,9 to 5
29935,201112,Girls,Other Design and Technology,11244,9 to 5
29936,201112,Total,Other Design and Technology,33689,9 to 5
29973,201112,Boys,Other Modern Languages,4295,9 to 5
29974,201112,Girls,Other Modern Languages,4597,9 to 5
29975,201112,Total,Other Modern Languages,8892,9 to 5
30012,201112,Boys,Other Sciences,3788,9 to 5
30013,201112,Girls,Other Sciences,2079,9 to 5
30014,201112,Total,Other Sciences,5867,9 to 5
30051,201112,Boys,Performing Arts,755,9 to 5
30052,201112,Girls,Performing Arts,1515,9 to 5
30053,201112,Total,Performing Arts,2270,9 to 5
30090,201112,Boys,Physical Education,57174,9 to 5
30091,201112,Girls,Physical Education,30253,9 to 5
30092,201112,Total,Physical Education,87427,9 to 5
30129,201112,Boys,Physics,77821,9 to 5
30130,201112,Girls,Physics,68671,9 to 5
30131,201112,Total,Physics,146492,9 to 5
30168,201112,Boys,Polish,1399,9 to 5
30169,201112,Girls,Polish,1349,9 to 5
30170,201112,Total,Polish,2748,9 to 5
30207,201112,Boys,Religious Studies,96450,9 to 5
30208,201112,Girls,Religious Studies,114152,9 to 5
30209,201112,Total,Religious Studies,210602,9 to 5
30246,201112,Boys,Social Studies,15141,9 to 5
30247,201112,Girls,Social Studies,27310,9 to 5
30248,201112,Total,Social Studies,42451,9 to 5
30285,201112,Boys,Spanish,26500,9 to 5
30286,201112,Girls,Spanish,36845,9 to 5
30287,201112,Total,Spanish,63345,9 to 5
30324,201112,Boys,Statistics,27732,9 to 5
30325,201112,Girls,Statistics,24817,9 to 5
30326,201112,Total,Statistics,52549,9 to 5
30363,201112,Boys,Urdu,1283,9 to 5
30364,201112,Girls,Urdu,2421,9 to 5
30365,201112,Total,Urdu,3704,9 to 5
30402,201112,Boys,Vocational Studies,15129,9 to 5
30403,201112,Girls,Vocational Studies,16873,9 to 5
30404,201112,Total,Vocational Studies,32002,9 to 5
30441,201011,Boys,Additional Applied Science,13434,9 to 5
30442,201011,Girls,Additional Applied Science,15628,9 to 5
30443,201011,Total,Additional Applied Science,29062,9 to 5
30480,201011,Boys,Additional Science,123625,9 to 5
30481,201011,Girls,Additional Science,128169,9 to 5
30482,201011,Total,Additional Science,251794,9 to 5
30519,201011,Boys,All Subjects,2220810,9 to 5
30520,201011,Girls,All Subjects,2290185,9 to 5
30521,201011,Total,All Subjects,4510995,9 to 5
30636,201011,Boys,Ancient History,94,9 to 5
30637,201011,Girls,Ancient History,39,9 to 5
30638,201011,Total,Ancient History,133,9 to 5
30675,201011,Boys,Applied Art and Design,566,9 to 5
30676,201011,Girls,Applied Art and Design,910,9 to 5
30677,201011,Total,Applied Art and Design,1476,9 to 5
30714,201011,Boys,Applied Business,2142,9 to 5
30715,201011,Girls,Applied Business,1373,9 to 5
30716,201011,Total,Applied Business,3515,9 to 5
30753,201011,Boys,Applied Engineering,1241,9 to 5
30754,201011,Girls,Applied Engineering,59,9 to 5
30755,201011,Total,Applied Engineering,1300,9 to 5
30792,201011,Boys,Applied Physical Education,572,9 to 5
30793,201011,Girls,Applied Physical Education,447,9 to 5
30794,201011,Total,Applied Physical Education,1019,9 to 5
30831,201011,Boys,Arabic,930,9 to 5
30832,201011,Girls,Arabic,1208,9 to 5
30833,201011,Total,Arabic,2138,9 to 5
30870,201011,Boys,Art and Design,57387,9 to 5
30871,201011,Girls,Art and Design,104955,9 to 5
30872,201011,Total,Art and Design,162342,9 to 5
30909,201011,Boys,Biological Sciences,71285,9 to 5
30910,201011,Girls,Biological Sciences,62501,9 to 5
30911,201011,Total,Biological Sciences,133786,9 to 5
30948,201011,Boys,Business Studies,36281,9 to 5
30949,201011,Girls,Business Studies,24754,9 to 5
30950,201011,Total,Business Studies,61035,9 to 5
30987,201011,Boys,Chemistry,70552,9 to 5
30988,201011,Girls,Chemistry,61466,9 to 5
30989,201011,Total,Chemistry,132018,9 to 5
31026,201011,Boys,Chinese,1305,9 to 5
31027,201011,Girls,Chinese,1175,9 to 5
31028,201011,Total,Chinese,2480,9 to 5
31065,201011,Boys,Classical Civilisation,2201,9 to 5
31066,201011,Girls,Classical Civilisation,1684,9 to 5
31067,201011,Total,Classical Civilisation,3885,9 to 5
31104,201011,Boys,Classical Greek,619,9 to 5
31105,201011,Girls,Classical Greek,398,9 to 5
31106,201011,Total,Classical Greek,1017,9 to 5
31143,201011,Boys,Communication Studies,4072,9 to 5
31144,201011,Girls,Communication Studies,5386,9 to 5
31145,201011,Total,Communication Studies,9458,9 to 5
31182,201011,Boys,Construction,34,9 to 5
31183,201011,Girls,Construction,0,9 to 5
31184,201011,Total,Construction,34,9 to 5
31221,201011,Boys,Core Science,173632,9 to 5
31222,201011,Girls,Core Science,176542,9 to 5
31223,201011,Total,Core Science,350174,9 to 5
31260,201011,Boys,D & T: Electronic Products,9080,9 to 5
31261,201011,Girls,D & T: Electronic Products,773,9 to 5
31262,201011,Total,D & T: Electronic Products,9853,9 to 5
31299,201011,Boys,D & T: Food Technology,20079,9 to 5
31300,201011,Girls,D & T: Food Technology,33970,9 to 5
31301,201011,Total,D & T: Food Technology,54049,9 to 5
31338,201011,Boys,D & T: Graphic Products,25664,9 to 5
31339,201011,Girls,D & T: Graphic Products,18114,9 to 5
31340,201011,Total,D & T: Graphic Products,43778,9 to 5
31377,201011,Boys,D & T: Resistant Materials,49560,9 to 5
31378,201011,Girls,D & T: Resistant Materials,8889,9 to 5
31379,201011,Total,D & T: Resistant Materials,58449,9 to 5
31416,201011,Boys,D & T: Systems & Control,4014,9 to 5
31417,201011,Girls,D & T: Systems & Control,314,9 to 5
31418,201011,Total,D & T: Systems & Control,4328,9 to 5
31455,201011,Boys,D & T: Textiles Technology,1043,9 to 5
31456,201011,Girls,D & T: Textiles Technology,32614,9 to 5
31457,201011,Total,D & T: Textiles Technology,33657,9 to 5
31494,201011,Boys,Dance,869,9 to 5
31495,201011,Girls,Dance,12308,9 to 5
31496,201011,Total,Dance,13177,9 to 5
31533,201011,Boys,Drama,28731,9 to 5
31534,201011,Girls,Drama,46024,9 to 5
31535,201011,Total,Drama,74755,9 to 5
31572,201011,Boys,Economics,2353,9 to 5
31573,201011,Girls,Economics,897,9 to 5
31574,201011,Total,Economics,3250,9 to 5
31611,201011,Boys,English,296070,9 to 5
31612,201011,Girls,English,291391,9 to 5
31613,201011,Total,English,587461,9 to 5
31650,201011,Boys,English Literature,212726,9 to 5
31651,201011,Girls,English Literature,236510,9 to 5
31652,201011,Total,English Literature,449236,9 to 5
31689,201011,Boys,English Studies,1840,9 to 5
31690,201011,Girls,English Studies,1462,9 to 5
31691,201011,Total,English Studies,3302,9 to 5
31728,201011,Boys,French,59640,9 to 5
31729,201011,Girls,French,82109,9 to 5
31730,201011,Total,French,141749,9 to 5
31767,201011,Boys,General Studies,3373,9 to 5
31768,201011,Girls,General Studies,3149,9 to 5
31769,201011,Total,General Studies,6522,9 to 5
31806,201011,Boys,Geography,89338,9 to 5
31807,201011,Girls,Geography,72208,9 to 5
31808,201011,Total,Geography,161546,9 to 5
31845,201011,Boys,German,27383,9 to 5
31846,201011,Girls,German,30916,9 to 5
31847,201011,Total,German,58299,9 to 5
31884,201011,Boys,Health and Social Care,302,9 to 5
31885,201011,Girls,Health and Social Care,5570,9 to 5
31886,201011,Total,Health and Social Care,5872,9 to 5
31923,201011,Boys,History,98087,9 to 5
31924,201011,Girls,History,97120,9 to 5
31925,201011,Total,History,195207,9 to 5
31962,201011,Boys,Home Economics,3898,9 to 5
31963,201011,Girls,Home Economics,24546,9 to 5
31964,201011,Total,Home Economics,28444,9 to 5
32001,201011,Boys,Hospitality and Catering,343,9 to 5
32002,201011,Girls,Hospitality and Catering,511,9 to 5
32003,201011,Total,Hospitality and Catering,854,9 to 5
32040,201011,Boys,Humanities,7209,9 to 5
32041,201011,Girls,Humanities,7417,9 to 5
32042,201011,Total,Humanities,14626,9 to 5
32079,201011,Boys,Information Technology,19551,9 to 5
32080,201011,Girls,Information Technology,16611,9 to 5
32081,201011,Total,Information Technology,36162,9 to 5
32118,201011,Boys,Italian,1451,9 to 5
32119,201011,Girls,Italian,1985,9 to 5
32120,201011,Total,Italian,3436,9 to 5
32157,201011,Boys,Latin,4077,9 to 5
32158,201011,Girls,Latin,4135,9 to 5
32159,201011,Total,Latin,8212,9 to 5
32196,201011,Boys,Leisure and Tourism,1180,9 to 5
32197,201011,Girls,Leisure and Tourism,1637,9 to 5
32198,201011,Total,Leisure and Tourism,2817,9 to 5
32235,201011,Boys,Manufacturing,139,9 to 5
32236,201011,Girls,Manufacturing,33,9 to 5
32237,201011,Total,Manufacturing,172,9 to 5
32274,201011,Boys,Mathematics,303211,9 to 5
32275,201011,Girls,Mathematics,295368,9 to 5
32276,201011,Total,Mathematics,598579,9 to 5
32313,201011,Boys,Media/Film/TV,25784,9 to 5
32314,201011,Girls,Media/Film/TV,25999,9 to 5
32315,201011,Total,Media/Film/TV,51783,9 to 5
32352,201011,Boys,Media: Communication and Production,75,9 to 5
32353,201011,Girls,Media: Communication and Production,89,9 to 5
32354,201011,Total,Media: Communication and Production,164,9 to 5
32391,201011,Boys,Music,22402,9 to 5
32392,201011,Girls,Music,20755,9 to 5
32393,201011,Total,Music,43157,9 to 5
32430,201011,Boys,Other Classical Studies,129,9 to 5
32431,201011,Girls,Other Classical Studies,336,9 to 5
32432,201011,Total,Other Classical Studies,465,9 to 5
32469,201011,Boys,Other Design and Technology,22529,9 to 5
32470,201011,Girls,Other Design and Technology,11982,9 to 5
32471,201011,Total,Other Design and Technology,34511,9 to 5
32508,201011,Boys,Other Modern Languages,4207,9 to 5
32509,201011,Girls,Other Modern Languages,4567,9 to 5
32510,201011,Total,Other Modern Languages,8774,9 to 5
32547,201011,Boys,Other Sciences,3618,9 to 5
32548,201011,Girls,Other Sciences,1899,9 to 5
32549,201011,Total,Other Sciences,5517,9 to 5
32586,201011,Boys,Performing Arts,849,9 to 5
32587,201011,Girls,Performing Arts,1799,9 to 5
32588,201011,Total,Performing Arts,2648,9 to 5
32625,201011,Boys,Physical Education,61255,9 to 5
32626,201011,Girls,Physical Education,32579,9 to 5
32627,201011,Total,Physical Education,93834,9 to 5
32664,201011,Boys,Physics,70307,9 to 5
32665,201011,Girls,Physics,60831,9 to 5
32666,201011,Total,Physics,131138,9 to 5
32703,201011,Boys,Polish,1262,9 to 5
32704,201011,Girls,Polish,1243,9 to 5
32705,201011,Total,Polish,2505,9 to 5
32742,201011,Boys,Religious Studies,89188,9 to 5
32743,201011,Girls,Religious Studies,105921,9 to 5
32744,201011,Total,Religious Studies,195109,9 to 5
32781,201011,Boys,Social Studies,12651,9 to 5
32782,201011,Girls,Social Studies,24570,9 to 5
32783,201011,Total,Social Studies,37221,9 to 5
32820,201011,Boys,Spanish,24538,9 to 5
32821,201011,Girls,Spanish,34143,9 to 5
32822,201011,Total,Spanish,58681,9 to 5
32859,201011,Boys,Statistics,32464,9 to 5
32860,201011,Girls,Statistics,29473,9 to 5
32861,201011,Total,Statistics,61937,9 to 5
32898,201011,Boys,Urdu,1454,9 to 5
32899,201011,Girls,Urdu,2437,9 to 5
32900,201011,Total,Urdu,3891,9 to 5
32937,201011,Boys,Vocational Studies,16915,9 to 5
32938,201011,Girls,Vocational Studies,18287,9 to 5
32939,201011,Total,Vocational Studies,35202,9 to 5
32976,200910,Boys,Additional Applied Science,17714,9 to 5
32977,200910,Girls,Additional Applied Science,20853,9 to 5
32978,200910,Total,Additional Applied Science,38567,9 to 5
33015,200910,Boys,Additional Science,142935,9 to 5
33016,200910,Girls,Additional Science,145841,9 to 5
33017,200910,Total,Additional Science,288776,9 to 5
33054,200910,Boys,All Subjects,2321259,9 to 5
33055,200910,Girls,All Subjects,2371428,9 to 5
33056,200910,Total,All Subjects,4692687,9 to 5
33171,200910,Boys,Applied Physical Education,1137,9 to 5
33172,200910,Girls,Applied Physical Education,908,9 to 5
33173,200910,Total,Applied Physical Education,2045,9 to 5
33210,200910,Boys,Arabic,955,9 to 5
33211,200910,Girls,Arabic,1184,9 to 5
33212,200910,Total,Arabic,2139,9 to 5
33249,200910,Boys,Art and Design,61863,9 to 5
33250,200910,Girls,Art and Design,107435,9 to 5
33251,200910,Total,Art and Design,169298,9 to 5
33288,200910,Boys,Biological Sciences,62862,9 to 5
33289,200910,Girls,Biological Sciences,53026,9 to 5
33290,200910,Total,Biological Sciences,115888,9 to 5
33327,200910,Boys,Business Studies,40581,9 to 5
33328,200910,Girls,Business Studies,28100,9 to 5
33329,200910,Total,Business Studies,68681,9 to 5
33366,200910,Boys,Chemistry,61890,9 to 5
33367,200910,Girls,Chemistry,51396,9 to 5
33368,200910,Total,Chemistry,113286,9 to 5
33405,200910,Boys,Chinese,1305,9 to 5
33406,200910,Girls,Chinese,1237,9 to 5
33407,200910,Total,Chinese,2542,9 to 5
33444,200910,Boys,Classical Civilisation,2452,9 to 5
33445,200910,Girls,Classical Civilisation,1850,9 to 5
33446,200910,Total,Classical Civilisation,4302,9 to 5
33483,200910,Boys,Classical Greek,727,9 to 5
33484,200910,Girls,Classical Greek,446,9 to 5
33485,200910,Total,Classical Greek,1173,9 to 5
33522,200910,Boys,Communication Studies,3554,9 to 5
33523,200910,Girls,Communication Studies,5415,9 to 5
33524,200910,Total,Communication Studies,8969,9 to 5
33561,200910,Boys,Construction,295,9 to 5
33562,200910,Girls,Construction,10,9 to 5
33563,200910,Total,Construction,305,9 to 5
33600,200910,Boys,Core Science,201936,9 to 5
33601,200910,Girls,Core Science,204477,9 to 5
33602,200910,Total,Core Science,406413,9 to 5
33639,200910,Boys,D & T: Electronic Products,10058,9 to 5
33640,200910,Girls,D & T: Electronic Products,899,9 to 5
33641,200910,Total,D & T: Electronic Products,10957,9 to 5
33678,200910,Boys,D & T: Food Technology,22380,9 to 5
33679,200910,Girls,D & T: Food Technology,39724,9 to 5
33680,200910,Total,D & T: Food Technology,62104,9 to 5
33717,200910,Boys,D & T: Graphic Products,29744,9 to 5
33718,200910,Girls,D & T: Graphic Products,21611,9 to 5
33719,200910,Total,D & T: Graphic Products,51355,9 to 5
33756,200910,Boys,D & T: Resistant Materials,56801,9 to 5
33757,200910,Girls,D & T: Resistant Materials,10601,9 to 5
33758,200910,Total,D & T: Resistant Materials,67402,9 to 5
33795,200910,Boys,D & T: Systems & Control,5200,9 to 5
33796,200910,Girls,D & T: Systems & Control,437,9 to 5
33797,200910,Total,D & T: Systems & Control,5637,9 to 5
33834,200910,Boys,D & T: Textiles Technology,1175,9 to 5
33835,200910,Girls,D & T: Textiles Technology,34660,9 to 5
33836,200910,Total,D & T: Textiles Technology,35835,9 to 5
33873,200910,Boys,Dance,901,9 to 5
33874,200910,Girls,Dance,14386,9 to 5
33875,200910,Total,Dance,15287,9 to 5
33912,200910,Boys,Drama,31417,9 to 5
33913,200910,Girls,Drama,49348,9 to 5
33914,200910,Total,Drama,80765,9 to 5
33951,200910,Boys,Economics,1992,9 to 5
33952,200910,Girls,Economics,724,9 to 5
33953,200910,Total,Economics,2716,9 to 5
33990,200910,Boys,English,301727,9 to 5
33991,200910,Girls,English,297518,9 to 5
33992,200910,Total,English,599245,9 to 5
34029,200910,Boys,English Literature,223392,9 to 5
34030,200910,Girls,English Literature,244529,9 to 5
34031,200910,Total,English Literature,467921,9 to 5
34068,200910,Boys,English Studies,1778,9 to 5
34069,200910,Girls,English Studies,1386,9 to 5
34070,200910,Total,English Studies,3164,9 to 5
34107,200910,Boys,French,69209,9 to 5
34108,200910,Girls,French,91389,9 to 5
34109,200910,Total,French,160598,9 to 5
34146,200910,Boys,General Studies,3961,9 to 5
34147,200910,Girls,General Studies,3563,9 to 5
34148,200910,Total,General Studies,7524,9 to 5
34185,200910,Boys,Geography,93679,9 to 5
34186,200910,Girls,Geography,75593,9 to 5
34187,200910,Total,Geography,169272,9 to 5
34224,200910,Boys,German,30790,9 to 5
34225,200910,Girls,German,35032,9 to 5
34226,200910,Total,German,65822,9 to 5
34263,200910,Boys,History,99674,9 to 5
34264,200910,Girls,History,98579,9 to 5
34265,200910,Total,History,198253,9 to 5
34302,200910,Boys,Home Economics,3117,9 to 5
34303,200910,Girls,Home Economics,26233,9 to 5
34304,200910,Total,Home Economics,29350,9 to 5
34341,200910,Boys,Hospitality and Catering,339,9 to 5
34342,200910,Girls,Hospitality and Catering,646,9 to 5
34343,200910,Total,Hospitality and Catering,985,9 to 5
34380,200910,Boys,Humanities,6239,9 to 5
34381,200910,Girls,Humanities,6426,9 to 5
34382,200910,Total,Humanities,12665,9 to 5
34419,200910,Boys,Information Technology,24186,9 to 5
34420,200910,Girls,Information Technology,19177,9 to 5
34421,200910,Total,Information Technology,43363,9 to 5
34458,200910,Boys,Italian,1396,9 to 5
34459,200910,Girls,Italian,2160,9 to 5
34460,200910,Total,Italian,3556,9 to 5
34497,200910,Boys,Latin,4702,9 to 5
34498,200910,Girls,Latin,4654,9 to 5
34499,200910,Total,Latin,9356,9 to 5
34536,200910,Boys,Mathematics,309181,9 to 5
34537,200910,Girls,Mathematics,302024,9 to 5
34538,200910,Total,Mathematics,611205,9 to 5
34575,200910,Boys,Media/Film/TV,28715,9 to 5
34576,200910,Girls,Media/Film/TV,29871,9 to 5
34577,200910,Total,Media/Film/TV,58586,9 to 5
34614,200910,Boys,Media: Communication and Production,174,9 to 5
34615,200910,Girls,Media: Communication and Production,171,9 to 5
34616,200910,Total,Media: Communication and Production,345,9 to 5
34653,200910,Boys,Music,23914,9 to 5
34654,200910,Girls,Music,21519,9 to 5
34655,200910,Total,Music,45433,9 to 5
34692,200910,Boys,Other Classical Studies,152,9 to 5
34693,200910,Girls,Other Classical Studies,377,9 to 5
34694,200910,Total,Other Classical Studies,529,9 to 5
34731,200910,Boys,Other Design and Technology,22026,9 to 5
34732,200910,Girls,Other Design and Technology,11952,9 to 5
34733,200910,Total,Other Design and Technology,33978,9 to 5
34770,200910,Boys,Other Modern Languages,4412,9 to 5
34771,200910,Girls,Other Modern Languages,4733,9 to 5
34772,200910,Total,Other Modern Languages,9145,9 to 5
34809,200910,Boys,Other Sciences,3612,9 to 5
34810,200910,Girls,Other Sciences,1901,9 to 5
34811,200910,Total,Other Sciences,5513,9 to 5
34848,200910,Boys,Performing Arts,648,9 to 5
34849,200910,Girls,Performing Arts,1206,9 to 5
